"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"161",161,"Jackrab","Jaib37",2022-08-08,0,220,2022-08-08 00:57:49,43.37392503,-116.23446,c(-116.23446, 43.37392503),"5"
"162",162,"Jackrab","Jaib38",2022-08-09,1,221,2022-08-09 01:21:42,43.371547,-116.234432,c(-116.234432, 43.371547),"6"
"163",163,"Jackrab","Jaib39",2022-08-11,1,223,2022-08-11 01:20:14,43.214763,-115.981905,c(-115.981905, 43.214763),"7"
"164",164,"Jackrab","Jaib4",2022-08-02,22,214,2022-08-02 22:48:41,43.21489401,-115.972232,c(-115.972232, 43.21489401),"2"
"165",165,"Jackrab","Jaib40",2022-08-12,1,224,2022-08-12 01:41:06,43.22013798,-116.019231,c(-116.019231, 43.22013798),"8"
"166",166,"Jackrab","Jaib41",2022-08-04,1,216,2022-08-04 01:32:02,43.36102,-116.234431,c(-116.234431, 43.36102),"3"
"167",167,"Jackrab","Jaib42",2022-08-05,1,217,2022-08-05 01:02:35,43.21455698,-115.991739,c(-115.991739, 43.21455698),"4"
"168",168,"Jackrab","Jaib43",2022-08-08,1,220,2022-08-08 01:00:11,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"169",169,"Jackrab","Jaib44",2022-08-11,1,223,2022-08-11 01:21:19,43.21455999,-115.989855,c(-115.989855, 43.21455999),"7"
"170",170,"Jackrab","Jaib5",2022-08-04,1,216,2022-08-04 01:36:25,43.33056402,-116.223725,c(-116.223725, 43.33056402),"3"
"171",171,"Jackrab","Jaib51",2022-08-05,1,217,2022-08-05 01:02:47,43.21451498,-115.992873,c(-115.992873, 43.21451498),"4"
"172",172,"Jackrab","Jaib52",2022-08-08,1,220,2022-08-08 01:00:22,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"173",173,"Jackrab","Jaib53",2022-08-11,1,223,2022-08-11 01:22:03,43.21345299,-115.995017,c(-115.995017, 43.21345299),"7"
"174",174,"Jackrab","Jaib6",2022-08-04,1,216,2022-08-04 01:36:36,43.32967001,-116.222742,c(-116.222742, 43.32967001),"3"
"175",175,"Jackrab","Jaib61",2022-08-05,1,217,2022-08-05 01:03:00,43.214144,-115.993934,c(-115.993934, 43.214144),"4"
"176",176,"Jackrab","Jaib62",2022-08-08,1,220,2022-08-08 01:01:08,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"177",177,"Jackrab","Jaib63",2022-08-11,1,223,2022-08-11 01:22:49,43.21038798,-115.999782,c(-115.999782, 43.21038798),"7"
"178",178,"Jackrab","Jaib7",2022-08-04,1,216,2022-08-04 01:36:46,43.32885403,-116.221708,c(-116.221708, 43.32885403),"3"
"179",179,"Jackrab","Jaib71",2022-08-05,1,217,2022-08-05 01:03:08,43.213827,-115.994411,c(-115.994411, 43.213827),"4"
"180",180,"Jackrab","Jaib72",2022-08-08,1,220,2022-08-08 01:01:47,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"181",181,"Jackrab","Jaib8",2022-08-04,1,216,2022-08-04 01:37:52,43.32240298,-116.216981,c(-116.216981, 43.32240298),"3"
"182",182,"Jackrab","Jaib81",2022-08-05,1,217,2022-08-05 01:05:39,43.20616401,-116.011655,c(-116.011655, 43.20616401),"4"
"183",183,"Jackrab","Jaib82",2022-08-08,1,220,2022-08-08 01:05:06,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"184",184,"Jackrab","Jaib9",2022-08-04,1,216,2022-08-04 01:38:14,43.320249,-116.215913,c(-116.215913, 43.320249),"3"
"185",185,"Jackrab","Jaib91",2022-08-05,1,217,2022-08-05 01:17:35,43.26066004,-116.045294,c(-116.045294, 43.26066004),"4"
"186",186,"Jackrab","Jaib92",2022-08-08,1,220,2022-08-08 01:05:15,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"187",187,"Jackrab","Jaie",2022-08-03,3,215,2022-08-03 03:52:06,43.33702002,-116.217925,c(-116.217925, 43.33702002),"2"
"188",188,"Jackrab","Jaie1",2022-08-03,3,215,2022-08-03 03:53:23,43.33942504,-116.226006,c(-116.226006, 43.33942504),"2"
